tool,source,risk,mutation_like,required_params,param_count,invoked,confirm_gate,grade,notes
add_appointment_payment,captain,high,true,payment_method;_confirm,3,yes,pass,A,no-confirm gate OK
add_contact_note,captain,medium,true,note;_confirm,2,yes,pass,A,no-confirm gate OK
add_deal_comment,captain,medium,true,body;_confirm,2,yes,pass,A,no-confirm gate OK
add_label_to_conversation,captain,medium,true,label_name;_confirm,3,yes,pass,A,no-confirm gate OK
add_private_note,captain,medium,true,note;_confirm,3,yes,pass,A,no-confirm gate OK
add_task_comment,captain,medium,true,body;_confirm,2,yes,pass,A,no-confirm gate OK
api__add_new_agent_to_account,openapi,high,true,body;_confirm,3,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__add_new_agent_to_inbox,openapi,high,true,body;_confirm,3,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__add_new_agent_to_team,openapi,high,true,team_id;body;_confirm,4,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__add_new_article_to_account,openapi,medium,true,id;body;_confirm,4,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__add_new_automation_rule_to_account,openapi,high,true,body;_confirm,3,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__add_new_canned_response_to_account,openapi,medium,true,body;_confirm,3,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__add_new_category_to_account,openapi,medium,true,id;body;_confirm,4,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__add_new_custom_attribute_to_account,openapi,medium,true,body;_confirm,3,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__add_new_portal_to_account,openapi,medium,true,body;_confirm,3,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__assign_a_conversation,openapi,medium,true,conversation_id;body;_confirm,4,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__cancel_scheduling_appointment,openapi,high,true,id;_confirm,3,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__cancel_scheduling_appointment_payments,openapi,high,true,id;_confirm,3,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__contact_add_labels,openapi,medium,false,id;body;_confirm,4,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__contactableinboxesget,openapi,low,false,id,1,yes,n/a,B,OpenAPI fallback; functional but less native naming; generated-openapi-name
api__contactconversations,openapi,low,false,id,1,yes,n/a,B,OpenAPI fallback; functional but less native naming; generated-openapi-name
api__contactcreate,openapi,medium,false,body;_confirm,3,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__contactdelete,openapi,high,false,id;_confirm,3,yes,pass,C,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name; cleanup lifecycle failure when contact has linked conversation/CRM/scheduling artifacts
api__contactdetails,openapi,low,false,id,1,yes,n/a,B,OpenAPI fallback; functional but less native naming; generated-openapi-name
api__contactfilter,openapi,medium,false,body;_confirm,4,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__contactinboxcreation,openapi,high,false,id;body;_confirm,4,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__contactlist,openapi,low,false,,2,yes,n/a,B,OpenAPI fallback; functional but less native naming; generated-openapi-name
api__contactmerge,openapi,medium,false,body;_confirm,3,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__contactsearch,openapi,low,false,,3,yes,n/a,B,OpenAPI fallback; functional but less native naming; generated-openapi-name
api__contactupdate,openapi,medium,false,id;body;_confirm,4,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__conversation_add_labels,openapi,medium,false,conversation_id;body;_confirm,4,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__conversationfilter,openapi,medium,false,body;_confirm,4,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__conversationlist,openapi,low,false,,7,yes,n/a,B,OpenAPI fallback; functional but less native naming; generated-openapi-name
api__conversationlistmeta,openapi,low,false,,5,yes,n/a,B,OpenAPI fallback; functional but less native naming; generated-openapi-name
api__create_a_custom_filter,openapi,medium,true,body;_confirm,4,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__create_a_label,openapi,medium,true,body;_confirm,3,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__create_a_new_message_in_a_conversation,openapi,high,true,conversation_id;body;_confirm,4,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__create_a_team,openapi,high,true,body;_confirm,3,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
api__create_a_webhook,openapi,high,true,body;_confirm,3,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name; duplicate-url validation returned localized message; okay but not machine-coded
api__create_an_account_agent_bot,openapi,high,true,body;_confirm,3,yes,pass,B,no-confirm gate OK; OpenAPI fallback; functional but less native naming; generated-openapi-name
